show,point_value
Yojouhan Shinwa Taikei,26
Tengen Toppa Gurren Lagann,23
Nisemonogatari,21
Cowboy Bebop,20
Momokuri,19
Kaichou wa Maid-sama!,18
Toradora,17
Nagi no Asukara,17
Amagami SS,17
Neon Genesis Evangelion,17
Fullmetal Alchemist Brotherhood,17
Uchouten Kazoku,17
Canvas 2,16
Special A,16
Ben-To,16
Re-Kan,16
AnoHana,16
Sword Art Online,15
Kizumonogatari,15
Himouto! Umaru-chan,15
Ookami Kodomo no Ame to Yuki,15
Ookami to Koushinryou,15
Isshuukan Friends,14
Genshiken,14
Shinsekai yori,14
Love Lab,13
Hataraku Maou-sama,13
Prison School,13
Yakitate!! Japan,13
Ore Monogatari,13
Seitokai Yakuindomo,13
Shigatsu wa Kimi no Uso,13
Nichijou,13
Kill la Kill,13
Kokoro Connect,13
Jojo no Kimyou na Bouken,12
Kiniro Mosaic,12
Love Live! School Idol Project 2nd Season,12
Komori-san wa Kotowarenai,11
Mikakunin de Shinkoukei,11
Uchuu Patrol Luluco,11
Tonkatsu DJ Agetarou,11
Stella no Mahou,11
Wakaba Girl,11
Wakako-zake,11
Sora no Woto,11
Jinrui wa Suitai Shimashita,11
WataMote,11
Panty & Stocking with Garterbelt,11
School Days,11
Yuyushiki,11
Danchigai,11
Bokura wa Minna Kawaisou,11
Doubutsu no Mori,11
Detroit Metal City,11
Free,10
Sakura Trick,10
Gakkou Gurashi!,10
Chuunibyou Ren,10
Plastic Memories,10
Tamako Market,10
Sakurasou,10
Lucky Star,10
Golden Time,10
Angel Beats,10
Ore no Nounai ...,9
Joshiraku,9
Kotoura-san,9
D-Frag,9
Sakamichi no Apollon,9
Koufuku Graffiti,9
Sakigake!! Cromartie Koukou,9
Fune wo Amu,9
Kuragehime,9
Joukamachi no Dandelion,9
Acchi Kocchi,9
Line Offline: Salaryman,9
Sore ga Seiyuu,9
Akikan,9
GJ-bu,9
Anne Happy,9
Sansha Sanyou,9
Hanayamata,9
Shimoneta,9
Ichigo Mashimaro,9
Futsuu no Joshikousei ga Locodol Yattemita,9
Little Witch Academia,9
Show By Rock,8
Baka to Test,8
Outbreak Company,8
Osomatsu-san,8
Tesagure! Bukatsumono,8
The iDOLM@STER,8
Arakawa Under the Bridge,8
Dungeon ni Deai...,8
Miss Monochrome,8
Sayonara Zetsubou Sensei,8
Akagami no Shirayuki-hime,8
Working,8
Gin no Saji,8
Kami nomi zo Shiru Sekai,8
Girls und Panzer,8
Kimi to Boku,8
Hanasaku Iroha,8
Kyoukai no Kanata,8
Hacka Doll the Animation,8
Getsuyoubi no Tawawa,8
Great Teacher Onizuka,7
Shouwa Genroku Rakugo Shinjuu,7
Space Dandy,7
The Melancholy of Haruhi Suzumiya,7
Ouran,7
Death Parade,6
Dennou Coil,6
Ore Twintails,6
Nisekoi,6
Kino no Tabi,6
Beck,6
Skip Beat,6
Kareshi Kanojo no Jijou,6
Kiss x Sis,6
Punch Line,6
High School Fleet,6
Etotama,6
Jitsu wa Watashi wa,6
Hourou Musuko,6
Fushigi na Somera-chan,6
Lovely Complex,6
Ore ga ... Shomin Sample,6
Samurai Champloo,5
Chihayafuru,5
Cross Game,5
Houkago no Pleiades,5
Kimi ni Todoke,5
Seitokai no Ichizon,5
Code Geass,5
Teekyuu,5
Ginga Eiyuu Densetsu,5
Kuroko no Basket,5
Elfen Lied,5
NHK ni Youkoso,5
Uchuu Kyoudai,5
Baccano,5
Nana,5
Tokyo Ghoul,4
Noragami,4
Katanagatari,4
SukaSuka,3
Bakuman,3
Shuffle,3
Shingeki no Kyojin,3
Subete ga F ni Naru,3
Shigofumi,3
Aria the Animation,3
Slam Dunk,3
Classroom Crisis,3
Aoharu x Kikanjuu,3
Witch Craft Works,3
High School DxD,3
Charlotte,3
School Rumble,3
Nodame Cantabile,3
Kobato,3
KanColle,3
Minami-ke,3
Sakurako-san,3
Lupin III (2015),3
Monster Strike,3
One Outs,3
Overlord,3
Mikagura Gakuen Kumikyoku,3
Rainbow,3
Junketsu no Maria,3
Kanamemo,3
RDG: Red Data Girl,3
Gatchaman Crowds,2
Young Black Jack,2
Hai to Gensou no Grimgar,2
Ushio to Tora,2
Mawaru Penguindrum,2
Mirai Nikki,2
Psycho-Pass,1
Hidamari Sketch,1
Eyeshield 21,1
Death Note,1
Denpa Kyoushi,1
Romeo no Aoi Sora,0
Mushishi,0
Natsume Yuujinchou,0
Ansatsu Kyoushitsu,0
Mahoutsukai no Yome: Hoshi Matsu Hito,0
Toaru Kagaku no Railgun,0
OreImo,0
Hunter x Hunter (2011),-1
Toaru Majutsu no Index,-1
To LOVE-Ru,-1
Full Metal Panic,-1
Baby Steps,-2
Diamond no Ace,-2
Hajime no Ippo,-3
Magi,-3
Gintama,-3
Major S1,-5
Mahou Shoujo Lyrical Nanoha,-5
Kyoukai no Rinne,-5
Durarara,-6
Fairy Tail,-11
